clause_id,ambiguity_type,condition,model,violation_rate,n_episodes,n_violations,modal_level
incompleteness_001,incompleteness,ambiguous,gpt-4.1,1.0,1,1,critical
incompleteness_001,incompleteness,ambiguous,gpt-5.4,1.0,1,1,critical
incompleteness_001,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_001,incompleteness,unambiguous,gpt-5.4,1.0,1,1,critical
incompleteness_002,incompleteness,ambiguous,gpt-4.1,0.0,1,0,minor
incompleteness_002,incompleteness,ambiguous,gpt-5.4,1.0,1,1,moderate
incompleteness_002,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_002,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_003,incompleteness,ambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_003,incompleteness,ambiguous,gpt-5.4,1.0,1,1,critical
incompleteness_003,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_003,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_004,incompleteness,ambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_004,incompleteness,ambiguous,gpt-5.4,1.0,1,1,moderate
incompleteness_004,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_004,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_005,incompleteness,ambiguous,gpt-4.1,0.0,1,0,none
incompleteness_005,incompleteness,ambiguous,gpt-5.4,0.0,1,0,none
incompleteness_005,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_005,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_006,incompleteness,ambiguous,gpt-4.1,0.0,1,0,none
incompleteness_006,incompleteness,ambiguous,gpt-5.4,0.0,1,0,none
incompleteness_006,incompleteness,unambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_006,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_007,incompleteness,ambiguous,gpt-4.1,0.0,1,0,none
incompleteness_007,incompleteness,ambiguous,gpt-5.4,0.0,1,0,none
incompleteness_007,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_007,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_008,incompleteness,ambiguous,gpt-4.1,1.0,1,1,critical
incompleteness_008,incompleteness,ambiguous,gpt-5.4,1.0,1,1,critical
incompleteness_008,incompleteness,unambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_008,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_009,incompleteness,ambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_009,incompleteness,ambiguous,gpt-5.4,1.0,1,1,moderate
incompleteness_009,incompleteness,unambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_009,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_010,incompleteness,ambiguous,gpt-4.1,0.0,1,0,none
incompleteness_010,incompleteness,ambiguous,gpt-5.4,0.0,1,0,none
incompleteness_010,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_010,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_011,incompleteness,ambiguous,gpt-4.1,1.0,1,1,critical
incompleteness_011,incompleteness,ambiguous,gpt-5.4,1.0,1,1,critical
incompleteness_011,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_011,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_012,incompleteness,ambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_012,incompleteness,ambiguous,gpt-5.4,1.0,1,1,moderate
incompleteness_012,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_012,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_013,incompleteness,ambiguous,gpt-4.1,0.0,1,0,none
incompleteness_013,incompleteness,ambiguous,gpt-5.4,1.0,1,1,critical
incompleteness_013,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_013,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_014,incompleteness,ambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_014,incompleteness,ambiguous,gpt-5.4,0.0,1,0,none
incompleteness_014,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_014,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_015,incompleteness,ambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_015,incompleteness,ambiguous,gpt-5.4,0.0,1,0,none
incompleteness_015,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_015,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_016,incompleteness,ambiguous,gpt-4.1,1.0,1,1,critical
incompleteness_016,incompleteness,ambiguous,gpt-5.4,1.0,1,1,critical
incompleteness_016,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
incompleteness_016,incompleteness,unambiguous,gpt-5.4,0.0,1,0,none
incompleteness_017,incompleteness,ambiguous,gpt-4.1,1.0,1,1,moderate
incompleteness_017,incompleteness,ambiguous,gpt-5.4,0.0,1,0,minor
incompleteness_017,incompleteness,unambiguous,gpt-4.1,0.0,1,0,none
