model,type,n_aware,n_total,awareness_rate
gpt-5.4,authorization_scope,1,32,0.0312
gpt-5.4,conditional_precedence,2,17,0.1176
gpt-5.4,coreferential,0,9,0.0
gpt-5.4,incompleteness,1,23,0.0435
gpt-5.4,lexical,1,21,0.0476
gpt-5.4,scopal,0,21,0.0
gpt-4.1,authorization_scope,1,23,0.0435
gpt-4.1,conditional_precedence,3,18,0.1667
gpt-4.1,coreferential,4,16,0.25
gpt-4.1,incompleteness,4,29,0.1379
gpt-4.1,lexical,1,17,0.0588
gpt-4.1,scopal,0,19,0.0
claude-sonnet-4-6,authorization_scope,0,6,0.0
claude-sonnet-4-6,conditional_precedence,8,18,0.4444
claude-sonnet-4-6,coreferential,1,11,0.0909
claude-sonnet-4-6,incompleteness,0,24,0.0
claude-sonnet-4-6,lexical,1,16,0.0625
claude-sonnet-4-6,scopal,0,16,0.0
qwen3-235b,authorization_scope,0,13,0.0
qwen3-235b,conditional_precedence,0,20,0.0
qwen3-235b,coreferential,0,21,0.0
qwen3-235b,incompleteness,0,31,0.0
qwen3-235b,lexical,0,26,0.0
qwen3-235b,scopal,0,18,0.0
deepseek-v3,authorization_scope,0,30,0.0
deepseek-v3,conditional_precedence,0,19,0.0
deepseek-v3,coreferential,0,22,0.0
deepseek-v3,incompleteness,0,27,0.0
deepseek-v3,lexical,0,27,0.0
deepseek-v3,scopal,0,24,0.0
gpt-5.4,ALL,5,123,0.0407
gpt-4.1,ALL,13,122,0.1066
claude-sonnet-4-6,ALL,10,91,0.1099
qwen3-235b,ALL,0,129,0.0
deepseek-v3,ALL,0,149,0.0
ALL,authorization_scope,2,104,0.0192
ALL,conditional_precedence,13,92,0.1413
ALL,coreferential,5,79,0.0633
ALL,incompleteness,5,134,0.0373
ALL,lexical,3,107,0.028
ALL,scopal,0,98,0.0
ALL,ALL,28,614,0.0456
